svc	pid	ofs	len	bit_ofs	bit_len	bit_mask	formula	digits	min	max	mnemonic	label	description	formula_remark	options	remark2
0xE7,0xF4	0x01	0	2	0	16	0xFFFF	1	%.0f			engine_speed	Engine speed	Drehzahl			
0xE7,0xF4	0x02	0	2	0	16	0xFFFF	2	%.0f			load	Load	Last			
0xE7,0xF4	0x03	0	2	0	16	0xFFFF	3	%.0f			throttle_position	Throttle plate angle	Drosselklappenwinkel			
0xE7,0xF4	0x04	0	2	0	16	0xFFFF	4	%.1f			ignition_timing_advance_cyl1	Ignition angle	Zündwinkel			
0xE7,0xF4	0x05	0	2	0	16	0xFFFF	5	%.1f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x06	0	2	0	16	0xFFFF	6	%.1f			voltage	Voltage	Spannung			
0xE7,0xF4	0x07	0	2	0	16	0xFFFF	7	%.0f			speed	Speed	Geschwindigkeit			
0xE7,0xF4	0x08	0	2	0	16	0xFFFF	8	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x09	0	2	0	16	0xFFFF	9	%.1f			steering_wheel_angle	Steering angle	Lenkwinkel			
0xE7,0xF4	0x0A	0	2	0	16	0xFFFF	0A	%.0f			warm_cold	Warm / cold	Textausgabe warm/kalt			
0xE7,0xF4	0x0B	0	2	0	16	0xFFFF	0B	%.2f			lambda_correction	Lambda correction	Lambda-Faktor			
0xE7,0xF4	0x0C	0	2	0	16	0xFFFF	0C	%.1f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x0D	0	2	0	16	0xFFFF	0D	%.1f			distance	Distance	Weg			
0xE7,0xF4	0x0E	0	2	0	16	0xFFFF	0E	%.0f			pressure	Pressure	Druck			
0xE7,0xF4	0x0F	0	2	0	16	0xFFFF	0F	%.1f			injection_time	Injection time	Einspritzzeit			
0xE7,0xF4	0x10	0	2	0	16	0xFFFF	10	%.0f			switch_positions	Switch positions	Schalterstellungen			
0xE7,0xF4	0x11	0	2	0	16	0xFFFF	11	%.0f			two_ascii	2 ASCII-characters	2 ASCII-Zeichen			
0xE7,0xF4	0x12	0	2	0	16	0xFFFF	12	%.0f			pressure_absolute	Absolute pressure	Absolutdruck			
0xE7,0xF4	0x13	0	2	0	16	0xFFFF	13	%.0f			fuel_content	Fuel content	Tankinhalt			
