svc	pid	ofs	len	bit_ofs	bit_len	bit_mask	formula	digits	min	max	label	description	formula_remark	options	remark2
0xE7,0xF4	0x01	0	2	0	16	0xFFFF	1	%.0f			Engine speed	Drehzahl			
0xE7,0xF4	0x02	0	2	0	16	0xFFFF	2	%.0f			Load	Last			
0xE7,0xF4	0x03	0	2	0	16	0xFFFF	3	%.0f			Throttle plate angle	Drosselklappenwinkel			
0xE7,0xF4	0x04	0	2	0	16	0xFFFF	4	%.1f			Ignition angle	Zündwinkel			
0xE7,0xF4	0x05	0	2	0	16	0xFFFF	5	%.1f			Temperature	Temperatur			
0xE7,0xF4	0x06	0	2	0	16	0xFFFF	6	%.1f			Voltage	Spannung			
0xE7,0xF4	0x07	0	2	0	16	0xFFFF	7	%.0f			Speed	Geschwindigkeit			
0xE7,0xF4	0x08	0	2	0	16	0xFFFF	8	%.0f			w/o units	ohne Einheit			
0xE7,0xF4	0x09	0	2	0	16	0xFFFF	9	%.1f			Steering angle	Lenkwinkel			
0xE7,0xF4	0x0A	0	2	0	16	0xFFFF	0A	%.0f			Warm / cold	Textausgabe warm/kalt			
0xE7,0xF4	0x0B	0	2	0	16	0xFFFF	0B	%.2f			Lambda correction	Lambda-Faktor			
0xE7,0xF4	0x0C	0	2	0	16	0xFFFF	0C	%.1f			Resistance	Widerstand			
0xE7,0xF4	0x0D	0	2	0	16	0xFFFF	0D	%.1f			Distance	Weg			
0xE7,0xF4	0x0E	0	2	0	16	0xFFFF	0E	%.0f			Pressure	Druck			
0xE7,0xF4	0x0F	0	2	0	16	0xFFFF	0F	%.1f			Injection time	Einspritzzeit			
0xE7,0xF4	0x10	0	2	0	16	0xFFFF	10	%.0f			Switch positions	Schalterstellungen			
0xE7,0xF4	0x11	0	2	0	16	0xFFFF	11	%.0f			2 ASCII-characters	2 ASCII-Zeichen			
0xE7,0xF4	0x12	0	2	0	16	0xFFFF	12	%.0f			Absolute pressure	Absolutdruck			
0xE7,0xF4	0x13	0	2	0	16	0xFFFF	13	%.0f			Fuel content	Tankinhalt			
0xE7,0xF4	0x14	0	2	0	16	0xFFFF	14	%.1f			Deviation in percent	Abweichung in Prozent			
0xE7,0xF4	0x15	0	2	0	16	0xFFFF	15	%.3f			Voltage	Spannung			
0xE7,0xF4	0x16	0	2	0	16	0xFFFF	16	%.2f			Injection time	Einspritzzeit			
0xE7,0xF4	0x17	0	2	0	16	0xFFFF	17	%.0f			Duty cycle	Tastverhältnis			
0xE7,0xF4	0x18	0	2	0	16	0xFFFF	18	%.3f			Current	Strom			
0xE7,0xF4	0x19	0	2	0	16	0xFFFF	19	%.1f			Mass flow	Massenstrom			
0xE7,0xF4	0x1A	0	2	0	16	0xFFFF	1A	%.0f			Temperature	Temperatur			
0xE7,0xF4	0x1B	0	2	0	16	0xFFFF	1B	%.1f			Ignition angle	Zündwinkel			
0xE7,0xF4	0x1C	0	2	0	16	0xFFFF	1C	%.0f			w/o units	ohne Einheit			
0xE7,0xF4	0x1D	0	2	0	16	0xFFFF	1D	%.0f			KF1/KF2	Textausgabe KF1/KF2			
0xE7,0xF4	0x1E	0	2	0	16	0xFFFF	1E	%.1f			Knock correction value	Klopfregeltiefe			
0xE7,0xF4	0x1F	0	2	0	16	0xFFFF	1F	%.2f			w/o units	ohne Einheit			
0xE7,0xF4	0x20	0	2	0	16	0xFFFF	20	%.0f			w/o units	ohne Einheit			
0xE7,0xF4	0x21	0	2	0	16	0xFFFF	21	%.1f			Load	Last			
0xE7,0xF4	0x22	0	2	0	16	0xFFFF	22	%.2f			Idle correction value	digitale Leerlaufstabilisierung			
0xE7,0xF4	0x23	0	2	0	16	0xFFFF	23	%.2f			Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x24	0	2	0	16	0xFFFF	24	%.0f			Mileage	Kilometerstand			
0xE7,0xF4	0x25	0	2	0	16	0xFFFF	25	%.0f			Text from table	Text aus Tabelle			
0xE7,0xF4	0x26	0	2	0	16	0xFFFF	26	%.2f			Segment correction value	Segment-Korrekturwert			
0xE7,0xF4	0x27	0	2	0	16	0xFFFF	27	%.1f			Injection quantity	Einspritzmenge			
0xE7,0xF4	0x28	0	2	0	16	0xFFFF	28	%.0f			Current	Fahrstrom			
0xE7,0xF4	0x29	0	2	0	16	0xFFFF	29	%.0f			Capacity	Ladung			
0xE7,0xF4	0x2A	0	2	0	16	0xFFFF	2A	%.1f			Power	Leistung			
0xE7,0xF4	0x2B	0	2	0	16	0xFFFF	2B	%.1f			Battery Voltage	Spannung Fahrbatterie			
0xE7,0xF4	0x2C	0	2	0	16	0xFFFF	2C	%.0f			Time	Zeit			
0xE7,0xF4	0x2D	0	2	0	16	0xFFFF	2D	%.1f			Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x2E	0	2	0	16	0xFFFF	2E	%.4f			Segment correction value	Segment Korrekturwert			
0xE7,0xF4	0x2F	0	2	0	16	0xFFFF	2F	%.0f			Time correction value	Zeit Korrekturwert			
0xE7,0xF4	0x30	0	2	0	16	0xFFFF	30	%.0f			w/o units	ohne Einheit			
0xE7,0xF4	0x31	0	2	0	16	0xFFFF	31	%.0f			Air mass per stroke	Luftmasse pro Hub			
0xE7,0xF4	0x32	0	2	0	16	0xFFFF	32	%.0f			Pressure	Druck			
0xE7,0xF4	0x33	0	2	0	16	0xFFFF	33	%.2f			Injection quantity	Einspritzmenge			
0xE7,0xF4	0x34	0	2	0	16	0xFFFF	34	%.0f			Torque	Drehmoment			
0xE7,0xF4	0x35	0	2	0	16	0xFFFF	35	%.2f			Mass flow	Massenstrom			
0xE7,0xF4	0x36	0	2	0	16	0xFFFF	36	%.0f			w/o units	ohne Einheit			
0xE7,0xF4	0x37	0	2	0	16	0xFFFF	37	%.1f			Time	Zeit			
0xE7,0xF4	0x38	0	2	0	16	0xFFFF	38	%.0f			for WSC16 = 0	für WSC16 = 0			
0xE7,0xF4	0x39	0	2	0	16	0xFFFF	39	%.0f			for WSC16 = 1	für WSC16 = 1			
0xE7,0xF4	0x3A	0	2	0	16	0xFFFF	3A	%.1f			Engine speed deviation	Laufunruhe			
0xE7,0xF4	0x3B	0	2	0	16	0xFFFF	3B	%.5f			Segment correction value	Segmentkorrektur			
0xE7,0xF4	0x3C	0	2	0	16	0xFFFF	3C	%.2f			Time quantization	Zeitquantisierung			
0xE7,0xF4	0x3D	0	2	0	16	0xFFFF	3D	%.3f			Difference	Differenz			
0xE7,0xF4	0x3E	0	2	0	16	0xFFFF	3E	%.0f			Time	Zeit			
0xE7,0xF4	0x3F	0	2	0	16	0xFFFF	3F	%.0f			ASCII-Longtext	ASCII-Langtext			
0xE7,0xF4	0x40	0	2	0	16	0xFFFF	40	%.0f			Resistance	Widerstand			
0xE7,0xF4	0x41	0	2	0	16	0xFFFF	41	%.0f			Distance	Weg			
0xE7,0xF4	0x42	0	2	0	16	0xFFFF	42	%.2f			Voltage	Spannung			
0xE7,0xF4	0x43	0	2	0	16	0xFFFF	43	%.1f			steering angle	Lenkwinkel			
0xE7,0xF4	0x44	0	2	0	16	0xFFFF	44	%.3f			Velocity	Drehrate			
0xE7,0xF4	0x45	0	2	0	16	0xFFFF	45	%.3f			Pressure	Druck			
0xE7,0xF4	0x46	0	2	0	16	0xFFFF	46	%.2f			Cross acceleration	Querbeschleunigung			
0xE7,0xF4	0x47	0	2	0	16	0xFFFF	47	%.0f			Distance	Abstand			
0xE7,0xF4	0x48	0	2	0	16	0xFFFF	48	%.2f			Voltage decimal	Spannung dezimal			
0xE7,0xF4	0x49	0	2	0	16	0xFFFF	49	%.3f			Resistance	Widerstand			
0xE7,0xF4	0x4A	0	2	0	16	0xFFFF	4A	%.0f			Time	Zeit			
0xE7,0xF4	0x4B	0	2	0	16	0xFFFF	4B	%.0f			Fault code	Fehlercode			
0xE7,0xF4	0x4C	0	2	0	16	0xFFFF	4C	%.0f			Resistance	Widerstand			
